seller-product-id,sku,title,price,product-id,brand,category,product_link,img_link
54347,6801189898082,Bàn Phím Có Dây Logitech K120 - Hàng Chính Hãng,128000,359484,Logitech,Thiết Bị Số - Phụ Kiện Số/Phụ kiện máy tính và Laptop/Phụ Kiện Phím Chuột Văn Phòng/Bàn Phím Văn Phòng,/ban-phim-co-day-logitech-k120-hang-chinh-hang-p359484.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/01/c9/b9/4c92a02dbf8def20c13076cbf2d1c28f.jpg
63131953,7502899514093,Bộ Kích Sóng Wifi Repeater 300Mbps TP-Link  TL-WA854RE - Hàng Chính Hãng,239000,459840,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Bộ Kích Sóng Wifi,"//t.ants.vn/a3/c/?bc=39a4c3444f,pageview,1601109746,visitor,1,7496227197,638770403,1345241239,10384,1,12307134322,12307133909,1,0_1&t_rls=7496227197-638770407-0-1000&t_s=7496227197-12307134322-1345241239:1&t_kw=&t_z=&t_age=7496227197-12307134322-2:1.0&t_gd=7496227197-12307134322-1:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=2&ti_age=2&ti_pl=1&ti_nw=3G:Vinaphone::4&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=18210128&nspace=tiki&action_name=×tamp=1601109746305&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=2&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fbo-kich-song-wifi-repeater-300mbps-tplink-tlwa854re-hang-chinh-hang-p459840.html%3Fspid%3D63131953&prd_imp=7496227197-12307134322-12264590086:1&pos=12",https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/l/tl-wa854re-01.jpg
107566,6108392509751,USB Kingston DT100G3 - 64GB - USB 3.0 - Hàng Chính Hãng,164000,405252,Kingston,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/USB,/usb-kingston-dt100g3-64gb-usb-3-0-hang-chinh-hang-p405252.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/6/4/64_1.jpg
618777,1404319460576,Ổ Cứng SSD Kingston A400 (120GB) - Hàng Chính Hãng,467500,618461,Kingston,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/Ổ Cứng Gắn Trong/Ổ Cứng SSD,/o-cung-ssd-kingston-a400-120gb-hang-chinh-hang-p618461.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u2409.d20170421.t141838.456229.jpg
52179838,2654672427016,Apple Macbook Air 2020 - 13 Inchs (i3-10th/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng,24489000,52179836,Apple,Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,/apple-macbook-air-2020-13-inchs-i3-10th-8gb-256gb-hang-nhap-khau-chinh-hang-p52179836.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/60/58/79/09cb740ce692cf84942fc65895637f62.jpg
59589786,4417398345419,Bộ Kích Sóng Wifi Repeater Băng Tần Kép AC750 TP-Link RE200 - Hàng Chính Hãng,495000,6909331,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Bộ Kích Sóng Wifi,"//t.ants.vn/a3/c/?bc=b8659de7aa,pageview,1601109746,visitor,1,7496227197,638770403,1345241239,10384,1,12307134272,12307133909,1,0_1&t_rls=7496227197-638770407-0-1000&t_s=7496227197-12307134272-1345241239:1&t_kw=&t_z=&t_age=7496227197-12307134272-3:1.0&t_gd=7496227197-12307134272-1:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=2&ti_age=3&ti_pl=1&ti_nw=3G:Vinaphone::4&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=18210128&nspace=tiki&action_name=×tamp=1601109746312&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=2&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fbo-kich-song-wifi-repeater-bang-tan-kep-ac750-tplink-re200-hang-chinh-hang-p6909331.html%3Fspid%3D59589786&prd_imp=7496227197-12307134272-12264590088:1&pos=16",https://salt.tikicdn.com/cache/280x280/ts/product/9d/5c/a5/24296c460f715f55d71e600a8fcbf88b.jpg
11604947,6703193267185,Chuột Có Dây Dell MS116 (Đen) - Hàng Chính Hãng,87000,637038,Dell,Thiết Bị Số - Phụ Kiện Số/Phụ kiện máy tính và Laptop/Phụ Kiện Phím Chuột Văn Phòng/Chuột Văn Phòng/Chuột Văn Phòng Có Dây,/chuot-co-day-dell-ms116-den-hang-chinh-hang-p637038.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/2/3/23885_chuot_dell_ms116_01.u2409.d20170508.t173244.322970.jpg
707047,6104573052672,USB 3.0 SanDisk Ultra Flair CZ73 - 32GB - Hàng Chính Hãng,155000,502113,SanDisk,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/USB,/usb-3-0-sandisk-ultra-flair-cz73-32gb-hang-chinh-hang-p502113.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/6c/00/03/4335e6e6ea255969ae9863c204ecdad5.jpg
311707,3364245433687,Hộp Đựng Ổ Cứng Di Động HDD Box 2.5 ORICO 2139U3 USB3.0/2.5 Nhựa Trong Suốt - Hàng Chính Hãng,105000,575388,Orico ,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Lưu Trữ/Case Ổ Cứng- Hộp Đựng HDD Box - Dock Ổ Cứng,/hop-dung-o-cung-di-dong-hdd-box-2-5-orico-2139u3-usb3-0-2-5-nhua-trong-suot-hang-chinh-hang-p575388.html?src=category-page-1846&2hi=0,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/s/dsc_3443.u2470.d20170303.t165942.339871.jpg
59580903,8977091213638,Bộ Phát Wifi Mesh Băng Tần Kép TP-Link Deco E4 AC1200 MU-MIMO (2-pack) - Hàng Chính Hãng,1650000,25206026,TP-Link,Laptop - Máy Vi Tính - Linh kiện/Thiết Bị Mạng/Thiết Bị Phát Sóng Wifi/Access Point - Điểm Truy Cập,"//t.ants.vn/a3/c/?bc=8b22c4b293,pageview,1601109746,visitor,1,7496227197,638770403,1345241239,10384,1,12307134270,12307133915,1,0_1&t_rls=7496227197-638770407-0-1000&t_s=7496227197-12307134270-1345241239:1&t_kw=&t_z=&t_age=7496227197-12307134270-3:1.0&t_gd=7496227197-12307134270-1:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=1&ti_age=3&ti_pl=1&ti_nw=3G:Vinaphone::4&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=18210128&nspace=tiki&action_name=×tamp=1601109746316&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=1&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fbo-phat-wifi-mesh-bang-tan-kep-tplink-deco-e4-ac1200-mumimo-2pack-hang-chinh-hang-p25206026.html%3Fspid%3D59580903&prd_imp=7496227197-12307134270-12264590085:1&pos=20",https://salt.tikicdn.com/cache/280x280/ts/product/b3/bd/fc/01894da47d53c04f1d72e1db41d3b9be.jpg
